Data,Canal de atendimento,Denúncia emergencial,Denunciante,Cenário da violação,Município,Frequência,Início das violações,Vítimas,Relação vítima-suspeito,Orientação sexual da vítima,Faixa etária da vítima,Raça\Cor da vítima,Faixa etária do suspeito,Suspeito preso,Raça\Cor do suspeito,Ano,Mês,Dia
2020-07-04 11:50:00,TELEFÔNICO,SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA - SEM FREQUÊNCIA,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SARAPUÍ,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,EX-MARIDO,N/D,30 A 34 ANOS,PRETA,40 A 44 ANOS,N/D,PRETA,2020,7,4
2020-07-10 18:37:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,PADRASTO/MADRASTA,N/D,12 A 14 ANOS,N/D,40 A 44 ANOS,N/D,N/D,2020,7,10
2020-07-09 09:26:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,GUARULHOS,SEMANALMENTE,HÁ MAIS DE CINCO ANOS,10.0,VIZINHO (A),N/D,60 A 64 ANOS,BRANCA,20 A 24 ANOS,N/D,PARDA,2020,7,9
2020-07-13 14:15:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,DENUNCIANTE NÃO SOUBE INFORMAR,DIARIAMENTE,HÁ MAIS DE UM ANO,10.0,COMPANHEIRO (A),N/D,30 A 34 ANOS,BRANCA,30 A 34 ANOS,N/D,PARDA,2020,7,13
2020-07-10 22:05:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,HORTOLÂNDIA,SEMANALMENTE,HÁ UM MÊS,10.0,EX-MARIDO,N/D,50 A 54 ANOS,N/D,70 A 74 ANOS,N/D,N/D,2020,7,10
2020-07-14 10:14:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,MOGI DAS CRUZES,DIARIAMENTE,HÁ MAIS DE UM ANO,30.0,EX-COMPANHEIRO (A),N/D,30 A 34 ANOS,N/D,35 A 39 ANOS,N/D,N/D,2020,7,14
2020-07-09 17:41:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,OCASIONALMENTE,HÁ MAIS DE CINCO ANOS,10.0,COMPANHEIRO (A),N/D,25 A 29 ANOS,BRANCA,35 A 39 ANOS,N/D,BRANCA,2020,7,9
2020-07-15 17:50:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,INDAIATUBA,DIARIAMENTE,HÁ MAIS DE DEZ ANOS,30.0,PAI,N/D,07 A 09 ANOS,PARDA,35 A 39 ANOS,N/D,BRANCA,2020,7,15
2020-07-11 21:49:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,AMBIENTE VIRTUAL (NO ÂMBITO DA INTERNET),DENUNCIANTE NÃO SOUBE INFORMAR,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,EX-NAMORADO (A),N/D,40 A 44 ANOS,BRANCA,45 A 49 ANOS,NÃO,PARDA,2020,7,11
2020-07-13 11:23:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,ESTABELECIMENTO DE SAÚDE,SÃO CARLOS,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,NÃO SE APLICA,N/D,50 A 54 ANOS,N/D,N/D,N/D,N/D,2020,7,13
2020-07-02 14:08:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,AMBIENTE VIRTUAL (NO ÂMBITO DA INTERNET),SALESÓPOLIS,OCASIONALMENTE,HÁ UMA SEMANA,10.0,EX-MARIDO,N/D,25 A 29 ANOS,PARDA,35 A 39 ANOS,N/D,N/D,2020,7,2
2020-07-13 10:59:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SANTO ANDRÉ,SEMANALMENTE,HÁ MAIS DE UM ANO,10.0,MARIDO,N/D,50 A 54 ANOS,AMARELA,N/D,N/D,BRANCA,2020,7,13
2020-07-13 20:09:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,DENUNCIANTE NÃO SOUBE INFORMAR,SEMANALMENTE,HÁ MAIS DE CINCO ANOS,10.0,COMPANHEIRO (A),N/D,40 A 44 ANOS,N/D,35 A 39 ANOS,N/D,N/D,2020,7,13
2020-07-14 12:06:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,PRESIDENTE PRUDENTE,DIARIAMENTE,HÁ MAIS DE DEZ ANOS,10.0,MARIDO,N/D,25 A 29 ANOS,BRANCA,40 A 44 ANOS,N/D,BRANCA,2020,7,14
2020-07-15 08:46:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,VOTUPORANGA,SEMANALMENTE,HÁ UM MÊS,10.0,EX-MARIDO,N/D,45 A 49 ANOS,BRANCA,65 A 69 ANOS,N/D,PRETA,2020,7,15
2020-07-04 11:10:00,TELEFÔNICO,SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA - SEM FREQUÊNCIA,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,ARUJÁ,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,MARIDO,N/D,25 A 29 ANOS,N/D,30 A 34 ANOS,N/D,N/D,2020,7,4
2020-07-11 10:37:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA DO SUSPEITO,PIRASSUNUNGA,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,EX-NAMORADO (A),N/D,20 A 24 ANOS,PARDA,35 A 39 ANOS,N/D,PARDA,2020,7,11
2020-07-11 08:37:00,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BAURU,DIARIAMENTE,HÁ MAIS DE UM ANO,10.0,COMPANHEIRO (A),N/D,18 A 19 ANOS,PARDA,30 A 34 ANOS,N/D,BRANCA,2020,7,11
2020-07-14 11:16:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,OCASIONALMENTE,HÁ MAIS DE CINCO ANOS,10.0,MARIDO,N/D,35 A 39 ANOS,N/D,35 A 39 ANOS,N/D,N/D,2020,7,14
2020-07-02 12:43:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,DENUNCIANTE NÃO SOUBE INFORMAR,MENSALMENTE,HÁ MAIS DE CINCO ANOS,10.0,EX-NAMORADO (A),N/D,35 A 39 ANOS,BRANCA,45 A 49 ANOS,N/D,BRANCA,2020,7,2
2020-07-11 21:30:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA DA VÍTIMA,SÃO PAULO,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,OUTROS,N/D,15 A 17 ANOS,BRANCA,20 A 24 ANOS,N/D,BRANCA,2020,7,11
2020-07-13 14:01:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,SÃO PAULO,DIARIAMENTE,HÁ MAIS DE DEZ ANOS,10.0,VIZINHO (A),N/D,50 A 54 ANOS,BRANCA,25 A 29 ANOS,N/D,N/D,2020,7,13
2020-07-10 15:47:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,DENUNCIANTE NÃO SOUBE INFORMAR,MENSALMENTE,N/D,10.0,EX-MARIDO,N/D,30 A 34 ANOS,BRANCA,25 A 29 ANOS,N/D,PARDA,2020,7,10
2020-07-26 19:36:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA DA VÍTIMA,VÁRZEA PAULISTA,N/D,HÁ MAIS DE DEZ ANOS,10.0,PAI,N/D,15 A 17 ANOS,BRANCA,35 A 39 ANOS,N/D,BRANCA,2020,7,26
2020-07-23 06:20:00,TELEFÔNICO,SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA - SEM FREQUÊNCIA,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,MOGI DAS CRUZES,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,EX-MARIDO,N/D,40 A 44 ANOS,PRETA,55 A 59 ANOS,N/D,BRANCA,2020,7,23
2020-07-17 22:22:00,TELEFÔNICO,NÃO,TERCEIRO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SANTO ANDRÉ,OCASIONALMENTE,HÁ MAIS DE UM ANO,10.0,NAMORADO(A),N/D,30 A 34 ANOS,PRETA,30 A 34 ANOS,N/D,BRANCA,2020,7,17
2020-07-23 11:53:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,ARUJÁ,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,MARIDO,N/D,20 A 24 ANOS,PARDA,20 A 24 ANOS,N/D,PARDA,2020,7,23
2020-07-28 20:51:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,MARIDO,N/D,,PARDA,N/D,N/D,BRANCA,2020,7,28
2020-07-31 10:56:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA DA VÍTIMA,CAÇAPAVA,SEMANALMENTE,HÁ MAIS DE CINCO ANOS,10.0,EX-COMPANHEIRO (A),N/D,35 A 39 ANOS,PARDA,35 A 39 ANOS,N/D,PRETA,2020,7,31
2020-07-20 14:36:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,GUARACI,SEMANALMENTE,HÁ MAIS DE SEIS MESES,10.0,MARIDO,N/D,45 A 49 ANOS,PARDA,50 A 54 ANOS,NÃO,BRANCA,2020,7,20
2020-07-21 15:35:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SANTO ANDRÉ,DIARIAMENTE,NÃO SABE INFORMAR,10.0,COMPANHEIRO (A),N/D,,N/D,N/D,N/D,N/D,2020,7,21
2020-07-30 21:21:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,MAUÁ,SEMANALMENTE,HÁ MAIS DE DEZ ANOS,10.0,EX-COMPANHEIRO (A),N/D,65 A 69 ANOS,BRANCA,70 A 74 ANOS,NÃO,PARDA,2020,7,30
